,filepath,image,imagename,label,extension
1,../data/original/National Zoo/Spike/IMG_0941.JPG,IMG_0941.JPG,Spike_IMG_0941.JPG,Spike,.JPG
2,../data/original/National Zoo/Spike/IMG_0443.JPG,IMG_0443.JPG,Spike_IMG_0443.JPG,Spike,.JPG
3,../data/original/National Zoo/Spike/IMG_0778.JPG,IMG_0778.JPG,Spike_IMG_0778.JPG,Spike,.JPG
4,../data/original/National Zoo/Spike/IMG_1047.JPG,IMG_1047.JPG,Spike_IMG_1047.JPG,Spike,.JPG
5,../data/original/National Zoo/Spike/IMG_0358.JPG,IMG_0358.JPG,Spike_IMG_0358.JPG,Spike,.JPG
6,../data/original/National Zoo/Spike/IMG_0560.JPG,IMG_0560.JPG,Spike_IMG_0560.JPG,Spike,.JPG
7,../data/original/National Zoo/Spike/IMG_1206.JPG,IMG_1206.JPG,Spike_IMG_1206.JPG,Spike,.JPG
8,../data/original/National Zoo/Spike/IMG_1058.JPG,IMG_1058.JPG,Spike_IMG_1058.JPG,Spike,.JPG
9,../data/original/National Zoo/Spike/IMG_0639.JPG,IMG_0639.JPG,Spike_IMG_0639.JPG,Spike,.JPG
10,../data/original/National Zoo/Spike/IMG_0864.JPG,IMG_0864.JPG,Spike_IMG_0864.JPG,Spike,.JPG
11,../data/original/National Zoo/Spike/IMG_1151.JPG,IMG_1151.JPG,Spike_IMG_1151.JPG,Spike,.JPG
12,../data/original/National Zoo/Spike/IMG_0786.JPG,IMG_0786.JPG,Spike_IMG_0786.JPG,Spike,.JPG
13,../data/original/National Zoo/Spike/IMG_0485.JPG,IMG_0485.JPG,Spike_IMG_0485.JPG,Spike,.JPG
14,../data/original/National Zoo/Spike/IMG_0143.JPG,IMG_0143.JPG,Spike_IMG_0143.JPG,Spike,.JPG
15,../data/original/National Zoo/Spike/IMG_0285.JPG,IMG_0285.JPG,Spike_IMG_0285.JPG,Spike,.JPG
16,../data/original/National Zoo/Spike/IMG_0860.JPG,IMG_0860.JPG,Spike_IMG_0860.JPG,Spike,.JPG
17,../data/original/National Zoo/Spike/IMG_0472.JPG,IMG_0472.JPG,Spike_IMG_0472.JPG,Spike,.JPG
18,../data/original/National Zoo/Spike/IMG_0338.JPG,IMG_0338.JPG,Spike_IMG_0338.JPG,Spike,.JPG
19,../data/original/National Zoo/Spike/IMG_0176.JPG,IMG_0176.JPG,Spike_IMG_0176.JPG,Spike,.JPG
20,../data/original/National Zoo/Spike/IMG_0678.JPG,IMG_0678.JPG,Spike_IMG_0678.JPG,Spike,.JPG
21,../data/original/National Zoo/Spike/IMG_0963.JPG,IMG_0963.JPG,Spike_IMG_0963.JPG,Spike,.JPG
22,../data/original/National Zoo/Spike/IMG_1347.JPG,IMG_1347.JPG,Spike_IMG_1347.JPG,Spike,.JPG
23,../data/original/National Zoo/Spike/IMG_0160.JPG,IMG_0160.JPG,Spike_IMG_0160.JPG,Spike,.JPG
24,../data/original/National Zoo/Spike/IMG_0354.JPG,IMG_0354.JPG,Spike_IMG_0354.JPG,Spike,.JPG
25,../data/original/National Zoo/Spike/IMG_0867.JPG,IMG_0867.JPG,Spike_IMG_0867.JPG,Spike,.JPG
26,../data/original/National Zoo/Spike/IMG_1366.JPG,IMG_1366.JPG,Spike_IMG_1366.JPG,Spike,.JPG
27,../data/original/National Zoo/Spike/IMG_0760.JPG,IMG_0760.JPG,Spike_IMG_0760.JPG,Spike,.JPG
